                                                   
{'loss': 0.9194, 'grad_norm': 1.9877768754959106, 'learning_rate': 1.999199974609125e-05, 'epoch': 0.13}
{'loss': 0.9413, 'grad_norm': 2.0773515701293945, 'learning_rate': 1.9990897656133385e-05, 'epoch': 0.13}
{'loss': 0.9167, 'grad_norm': 1.8957489728927612, 'learning_rate': 1.9989724508103916e-05, 'epoch': 0.14}
{'loss': 0.8869, 'grad_norm': 1.8146861791610718, 'learning_rate': 1.9988480310346606e-05, 'epoch': 0.14}
{'loss': 0.949, 'grad_norm': 2.290168523788452, 'learning_rate': 1.998716507171053e-05, 'epoch': 0.14}
{'loss': 0.9184, 'grad_norm': 1.9850801229476929, 'learning_rate': 1.9985778801550044e-05, 'epoch': 0.14}
{'loss': 0.9086, 'grad_norm': 1.731791615486145, 'learning_rate': 1.9984321509724684e-05, 'epoch': 0.15}
{'loss': 0.9561, 'grad_norm': 1.9007503986358643, 'learning_rate': 1.998279320659912e-05, 'epoch': 0.15}
{'loss': 0.9136, 'grad_norm': 1.725022554397583, 'learning_rate': 1.9981193903043077e-05, 'epoch': 0.15}
{'loss': 0.8992, 'grad_norm': 1.5256904363632202, 'learning_rate': 1.997952361043125e-05, 'epoch': 0.15}
{'loss': 0.9558, 'grad_norm': 1.724311113357544, 'learning_rate': 1.997778234064323e-05, 'epoch': 0.16}
{'loss': 0.893, 'grad_norm': 1.865889549255371, 'learning_rate': 1.9975970106063417e-05, 'epoch': 0.16}
{'loss': 0.9464, 'grad_norm': 1.7417329549789429, 'learning_rate': 1.9974086919580927e-05, 'epoch': 0.16}
{'loss': 0.8926, 'grad_norm': 1.7794451713562012, 'learning_rate': 1.9972132794589515e-05, 'epoch': 0.16}
{'loss': 0.8873, 'grad_norm': 1.8486584424972534, 'learning_rate': 1.9970107744987476e-05, 'epoch': 0.17}
{'loss': 0.9278, 'grad_norm': 1.8392927646636963, 'learning_rate': 1.9968011785177515e-05, 'epoch': 0.17}
{'loss': 0.8949, 'grad_norm': 1.7064238786697388, 'learning_rate': 1.99658449300667e-05, 'epoch': 0.17}
{'loss': 0.969, 'grad_norm': 2.156726360321045, 'learning_rate': 1.996360719506631e-05, 'epoch': 0.17}
{'loss': 0.9895, 'grad_norm': 2.0736987590789795, 'learning_rate': 1.996129859609174e-05, 'epoch': 0.18}
{'loss': 0.9214, 'grad_norm': 1.5262913703918457, 'learning_rate': 1.9958919149562405e-05, 'epoch': 0.18}
{'loss': 0.9109, 'grad_norm': 1.7167065143585205, 'learning_rate': 1.9956468872401588e-05, 'epoch': 0.18}
{'loss': 0.9594, 'grad_norm': 1.6087992191314697, 'learning_rate': 1.9953947782036353e-05, 'epoch': 0.18}
{'loss': 0.9217, 'grad_norm': 1.8762637376785278, 'learning_rate': 1.99513558963974e-05, 'epoch': 0.19}
{'loss': 0.9207, 'grad_norm': 1.6866434812545776, 'learning_rate': 1.994869323391895e-05, 'epoch': 0.19}
