                                                   
{'loss': 0.9592, 'grad_norm': 1.1534379720687866, 'learning_rate': 1.999199974609125e-05, 'epoch': 0.13}
{'loss': 0.9851, 'grad_norm': 1.1543338298797607, 'learning_rate': 1.9990897656133385e-05, 'epoch': 0.13}
{'loss': 0.9652, 'grad_norm': 1.0664889812469482, 'learning_rate': 1.9989724508103916e-05, 'epoch': 0.14}
{'loss': 0.9231, 'grad_norm': 1.1033461093902588, 'learning_rate': 1.9988480310346606e-05, 'epoch': 0.14}
{'loss': 0.9879, 'grad_norm': 1.2262977361679077, 'learning_rate': 1.998716507171053e-05, 'epoch': 0.14}
{'loss': 0.9632, 'grad_norm': 1.228186011314392, 'learning_rate': 1.9985778801550044e-05, 'epoch': 0.14}
{'loss': 0.9412, 'grad_norm': 1.055774211883545, 'learning_rate': 1.9984321509724684e-05, 'epoch': 0.15}
{'loss': 0.9992, 'grad_norm': 1.1431124210357666, 'learning_rate': 1.998279320659912e-05, 'epoch': 0.15}
{'loss': 0.9546, 'grad_norm': 1.055424451828003, 'learning_rate': 1.9981193903043077e-05, 'epoch': 0.15}
{'loss': 0.9361, 'grad_norm': 0.9450445771217346, 'learning_rate': 1.997952361043125e-05, 'epoch': 0.15}
{'loss': 0.9977, 'grad_norm': 1.0708354711532593, 'learning_rate': 1.997778234064323e-05, 'epoch': 0.16}
{'loss': 0.9358, 'grad_norm': 1.1416409015655518, 'learning_rate': 1.9975970106063417e-05, 'epoch': 0.16}
{'loss': 0.982, 'grad_norm': 1.0763306617736816, 'learning_rate': 1.9974086919580927e-05, 'epoch': 0.16}
{'loss': 0.9315, 'grad_norm': 1.0916249752044678, 'learning_rate': 1.9972132794589515e-05, 'epoch': 0.16}
{'loss': 0.9356, 'grad_norm': 0.9590449333190918, 'learning_rate': 1.9970107744987476e-05, 'epoch': 0.17}
{'loss': 0.9638, 'grad_norm': 1.0465701818466187, 'learning_rate': 1.9968011785177515e-05, 'epoch': 0.17}
{'loss': 0.9212, 'grad_norm': 1.0625969171524048, 'learning_rate': 1.99658449300667e-05, 'epoch': 0.17}
{'loss': 1.0117, 'grad_norm': 1.1676305532455444, 'learning_rate': 1.996360719506631e-05, 'epoch': 0.17}
{'loss': 1.0289, 'grad_norm': 1.1338200569152832, 'learning_rate': 1.996129859609174e-05, 'epoch': 0.18}
{'loss': 0.9527, 'grad_norm': 0.9505979418754578, 'learning_rate': 1.9958919149562405e-05, 'epoch': 0.18}
{'loss': 0.9534, 'grad_norm': 1.0595587491989136, 'learning_rate': 1.9956468872401588e-05, 'epoch': 0.18}
{'loss': 1.0008, 'grad_norm': 1.125098466873169, 'learning_rate': 1.9953947782036353e-05, 'epoch': 0.18}
{'loss': 0.958, 'grad_norm': 0.9936327934265137, 'learning_rate': 1.99513558963974e-05, 'epoch': 0.19}
{'loss': 0.9592, 'grad_norm': 1.053236722946167, 'learning_rate': 1.994869323391895e-05, 'epoch': 0.19}
{'loss': 0.9793, 'grad_norm': 1.0531097650527954, 'learning_rate': 1.9945959813538615e-05, 'epoch': 0.19}
{'loss': 0.9682, 'grad_norm': 1.0480573177337646, 'learning_rate': 1.994315565469723e-05, 'epoch': 0.19}
{'loss': 0.9155, 'grad_norm': 1.0297077894210815, 'learning_rate': 1.994028077733878e-05, 'epoch': 0.2}
