                                                   
{'loss': 0.959, 'grad_norm': 1.146517276763916, 'learning_rate': 1.999199974609125e-05, 'epoch': 0.13}
{'loss': 0.989, 'grad_norm': 1.1762607097625732, 'learning_rate': 1.9990897656133385e-05, 'epoch': 0.13}
{'loss': 0.9615, 'grad_norm': 1.0642857551574707, 'learning_rate': 1.9989724508103916e-05, 'epoch': 0.14}
{'loss': 0.9242, 'grad_norm': 1.098942756652832, 'learning_rate': 1.9988480310346606e-05, 'epoch': 0.14}
{'loss': 0.9896, 'grad_norm': 1.2149564027786255, 'learning_rate': 1.998716507171053e-05, 'epoch': 0.14}
{'loss': 0.968, 'grad_norm': 1.2314708232879639, 'learning_rate': 1.9985778801550044e-05, 'epoch': 0.14}
{'loss': 0.9434, 'grad_norm': 1.0595299005508423, 'learning_rate': 1.9984321509724684e-05, 'epoch': 0.15}
{'loss': 1.0013, 'grad_norm': 1.145908236503601, 'learning_rate': 1.998279320659912e-05, 'epoch': 0.15}
{'loss': 0.9548, 'grad_norm': 1.052897334098816, 'learning_rate': 1.9981193903043077e-05, 'epoch': 0.15}
{'loss': 0.9379, 'grad_norm': 0.9476438760757446, 'learning_rate': 1.997952361043125e-05, 'epoch': 0.15}
{'loss': 0.9953, 'grad_norm': 1.0662200450897217, 'learning_rate': 1.997778234064323e-05, 'epoch': 0.16}
{'loss': 0.9362, 'grad_norm': 1.1383538246154785, 'learning_rate': 1.9975970106063417e-05, 'epoch': 0.16}
{'loss': 0.9834, 'grad_norm': 1.0743365287780762, 'learning_rate': 1.9974086919580927e-05, 'epoch': 0.16}
{'loss': 0.9317, 'grad_norm': 1.082110047340393, 'learning_rate': 1.9972132794589515e-05, 'epoch': 0.16}
{'loss': 0.9281, 'grad_norm': 0.9687273502349854, 'learning_rate': 1.9970107744987476e-05, 'epoch': 0.17}
{'loss': 0.9641, 'grad_norm': 1.052303433418274, 'learning_rate': 1.9968011785177515e-05, 'epoch': 0.17}
{'loss': 0.9222, 'grad_norm': 1.057371973991394, 'learning_rate': 1.99658449300667e-05, 'epoch': 0.17}
{'loss': 1.0243, 'grad_norm': 1.1802104711532593, 'learning_rate': 1.996360719506631e-05, 'epoch': 0.17}
{'loss': 1.0302, 'grad_norm': 1.1403309106826782, 'learning_rate': 1.996129859609174e-05, 'epoch': 0.18}
{'loss': 0.9549, 'grad_norm': 0.9412878751754761, 'learning_rate': 1.9958919149562405e-05, 'epoch': 0.18}
{'loss': 0.9546, 'grad_norm': 1.0593639612197876, 'learning_rate': 1.9956468872401588e-05, 'epoch': 0.18}
{'loss': 1.0022, 'grad_norm': 1.1200881004333496, 'learning_rate': 1.9953947782036353e-05, 'epoch': 0.18}
{'loss': 0.9604, 'grad_norm': 1.0051101446151733, 'learning_rate': 1.99513558963974e-05, 'epoch': 0.19}
{'loss': 0.9557, 'grad_norm': 1.0610219240188599, 'learning_rate': 1.994869323391895e-05, 'epoch': 0.19}
{'loss': 0.9733, 'grad_norm': 1.0657804012298584, 'learning_rate': 1.9945959813538615e-05, 'epoch': 0.19}
{'loss': 0.9686, 'grad_norm': 1.0402389764785767, 'learning_rate': 1.994315565469723e-05, 'epoch': 0.19}
{'loss': 0.9161, 'grad_norm': 1.03548264503479, 'learning_rate': 1.994028077733878e-05, 'epoch': 0.2}
{'loss': 1.0124, 'grad_norm': 1.0382226705551147, 'learning_rate': 1.9937335201910187e-05, 'epoch': 0.2}
{'loss': 1.002, 'grad_norm': 1.081551194190979, 'learning_rate': 1.9934318949361218e-05, 'epoch': 0.2}
{'loss': 0.9391, 'grad_norm': 0.9814890027046204, 'learning_rate': 1.9931232041144308e-05, 'epoch': 0.2}
{'loss': 1.0008, 'grad_norm': 1.1304179430007935, 'learning_rate': 1.992807449921441e-05, 'epoch': 0.21}
{'loss': 0.9334, 'grad_norm': 0.9887384176254272, 'learning_rate': 1.9924846346028858e-05, 'epoch': 0.21}
{'loss': 0.9631, 'grad_norm': 0.9826951026916504, 'learning_rate': 1.992154760454718e-05, 'epoch': 0.21}
{'loss': 0.9194, 'grad_norm': 0.9963421821594238, 'learning_rate': 1.9918178298230955e-05, 'epoch': 0.21}
{'loss': 0.9248, 'grad_norm': 1.0720268487930298, 'learning_rate': 1.9914738451043633e-05, 'epoch': 0.22}
{'loss': 0.968, 'grad_norm': 0.9824404120445251, 'learning_rate': 1.9911228087450375e-05, 'epoch': 0.22}
{'loss': 0.9179, 'grad_norm': 1.0483800172805786, 'learning_rate': 1.9907647232417873e-05, 'epoch': 0.22}
{'loss': 0.9865, 'grad_norm': 1.1469706296920776, 'learning_rate': 1.9903995911414174e-05, 'epoch': 0.22}
{'loss': 0.9239, 'grad_norm': 0.9705820679664612, 'learning_rate': 1.9900274150408503e-05, 'epoch': 0.23}
{'loss': 0.9873, 'grad_norm': 1.1074358224868774, 'learning_rate': 1.9896481975871063e-05, 'epoch': 0.23}
{'loss': 0.983, 'grad_norm': 1.0912060737609863, 'learning_rate': 1.989261941477287e-05, 'epoch': 0.23}
{'loss': 0.9843, 'grad_norm': 1.151663899421692, 'learning_rate': 1.9888686494585543e-05, 'epoch': 0.23}
{'loss': 0.971, 'grad_norm': 1.0091590881347656, 'learning_rate': 1.9884683243281117e-05, 'epoch': 0.23}
{'loss': 0.9602, 'grad_norm': 1.0016350746154785, 'learning_rate': 1.9880609689331837e-05, 'epoch': 0.24}
{'loss': 0.931, 'grad_norm': 1.087943434715271, 'learning_rate': 1.987646586170996e-05, 'epoch': 0.24}
{'loss': 0.9209, 'grad_norm': 1.1612448692321777, 'learning_rate': 1.9872251789887563e-05, 'epoch': 0.24}
{'loss': 0.9606, 'grad_norm': 1.0045974254608154, 'learning_rate': 1.98679675038363e-05, 'epoch': 0.24}
{'loss': 0.9837, 'grad_norm': 1.077201247215271, 'learning_rate': 1.9863613034027224e-05, 'epoch': 0.25}
{'loss': 0.9976, 'grad_norm': 1.076498031616211, 'learning_rate': 1.9859188411430542e-05, 'epoch': 0.25}
{'loss': 0.9572, 'grad_norm': 1.0829821825027466, 'learning_rate': 1.985469366751542e-05, 'epoch': 0.25}
{'loss': 0.915, 'grad_norm': 1.0236356258392334, 'learning_rate': 1.985012883424973e-05, 'epoch': 0.25}
{'loss': 0.963, 'grad_norm': 0.9310304522514343, 'learning_rate': 1.9845493944099856e-05, 'epoch': 0.26}
{'loss': 0.9646, 'grad_norm': 0.9148479700088501, 'learning_rate': 1.984078903003044e-05, 'epoch': 0.26}
{'loss': 0.9836, 'grad_norm': 1.1282827854156494, 'learning_rate': 1.9836014125504146e-05, 'epoch': 0.26}
{'loss': 0.9595, 'grad_norm': 1.0268322229385376, 'learning_rate': 1.9831169264481446e-05, 'epoch': 0.26}
{'loss': 1.0272, 'grad_norm': 1.047928810119629, 'learning_rate': 1.9826254481420345e-05, 'epoch': 0.27}
{'loss': 0.9326, 'grad_norm': 1.076382040977478, 'learning_rate': 1.9821269811276164e-05, 'epoch': 0.27}
{'loss': 0.9703, 'grad_norm': 1.0494747161865234, 'learning_rate': 1.981621528950128e-05, 'epoch': 0.27}
{'loss': 0.9931, 'grad_norm': 1.0881747007369995, 'learning_rate': 1.9811090952044867e-05, 'epoch': 0.27}
{'loss': 0.9636, 'grad_norm': 1.0759494304656982, 'learning_rate': 1.980589683535266e-05, 'epoch': 0.28}
{'loss': 0.9766, 'grad_norm': 1.0022248029708862, 'learning_rate': 1.9800632976366668e-05, 'epoch': 0.28}
{'loss': 0.9413, 'grad_norm': 1.1197103261947632, 'learning_rate': 1.9795299412524948e-05, 'epoch': 0.28}
{'loss': 0.9711, 'grad_norm': 0.9904042482376099, 'learning_rate': 1.978989618176129e-05, 'epoch': 0.28}
{'loss': 0.9459, 'grad_norm': 0.9204519391059875, 'learning_rate': 1.9784423322505e-05, 'epoch': 0.29}
{'loss': 0.9815, 'grad_norm': 1.0851268768310547, 'learning_rate': 1.9778880873680587e-05, 'epoch': 0.29}
{'loss': 0.9813, 'grad_norm': 1.0904998779296875, 'learning_rate': 1.9773268874707504e-05, 'epoch': 0.29}
{'loss': 0.9098, 'grad_norm': 0.9746536612510681, 'learning_rate': 1.9767587365499865e-05, 'epoch': 0.29}
{'loss': 1.0061, 'grad_norm': 1.1835414171218872, 'learning_rate': 1.976183638646616e-05, 'epoch': 0.3}
{'loss': 0.9618, 'grad_norm': 1.1072063446044922, 'learning_rate': 1.975601597850897e-05, 'epoch': 0.3}
{'loss': 0.961, 'grad_norm': 1.00627601146698, 'learning_rate': 1.975012618302467e-05, 'epoch': 0.3}
{'loss': 0.9444, 'grad_norm': 0.9969777464866638, 'learning_rate': 1.974416704190314e-05, 'epoch': 0.3}
{'loss': 1.0048, 'grad_norm': 1.0448315143585205, 'learning_rate': 1.9738138597527467e-05, 'epoch': 0.31}
{'loss': 0.9511, 'grad_norm': 0.9405646920204163, 'learning_rate': 1.9732040892773644e-05, 'epoch': 0.31}
{'loss': 0.9509, 'grad_norm': 1.0660792589187622, 'learning_rate': 1.9725873971010256e-05, 'epoch': 0.31}
{'loss': 1.0005, 'grad_norm': 0.9817603230476379, 'learning_rate': 1.9719637876098186e-05, 'epoch': 0.31}
{'loss': 0.9211, 'grad_norm': 0.9467101693153381, 'learning_rate': 1.9713332652390293e-05, 'epoch': 0.32}
{'loss': 0.9346, 'grad_norm': 0.9435638785362244, 'learning_rate': 1.97069583447311e-05, 'epoch': 0.32}
{'loss': 0.9821, 'grad_norm': 1.0350472927093506, 'learning_rate': 1.9700514998456475e-05, 'epoch': 0.32}
{'loss': 0.941, 'grad_norm': 1.0589450597763062, 'learning_rate': 1.9694002659393306e-05, 'epoch': 0.32}
{'loss': 0.9147, 'grad_norm': 1.0924577713012695, 'learning_rate': 1.9687421373859175e-05, 'epoch': 0.33}
{'loss': 1.0147, 'grad_norm': 1.0593838691711426, 'learning_rate': 1.9680771188662044e-05, 'epoch': 0.33}
{'loss': 0.9774, 'grad_norm': 1.058081030845642, 'learning_rate': 1.967405215109989e-05, 'epoch': 0.33}
{'loss': 0.9374, 'grad_norm': 0.993809700012207, 'learning_rate': 1.96672643089604e-05, 'epoch': 0.33}
{'loss': 0.9527, 'grad_norm': 0.9806984663009644, 'learning_rate': 1.9660407710520613e-05, 'epoch': 0.34}
{'loss': 0.9658, 'grad_norm': 1.0561243295669556, 'learning_rate': 1.9653482404546583e-05, 'epoch': 0.34}
{'loss': 0.9411, 'grad_norm': 0.9685519933700562, 'learning_rate': 1.9646488440293035e-05, 'epoch': 0.34}
{'loss': 0.9895, 'grad_norm': 0.9792979955673218, 'learning_rate': 1.9639425867503008e-05, 'epoch': 0.34}
{'loss': 1.0326, 'grad_norm': 1.0526320934295654, 'learning_rate': 1.96322947364075e-05, 'epoch': 0.35}
{'loss': 1.0286, 'grad_norm': 1.315268874168396, 'learning_rate': 1.9625095097725128e-05, 'epoch': 0.35}
{'loss': 0.8962, 'grad_norm': 0.9115831255912781, 'learning_rate': 1.9617827002661734e-05, 'epoch': 0.35}
{'loss': 0.966, 'grad_norm': 1.0188965797424316, 'learning_rate': 1.9610490502910058e-05, 'epoch': 0.35}
{'loss': 0.958, 'grad_norm': 1.0445444583892822, 'learning_rate': 1.960308565064935e-05, 'epoch': 0.36}
{'loss': 0.9577, 'grad_norm': 1.0292145013809204, 'learning_rate': 1.9595612498544997e-05, 'epoch': 0.36}
{'loss': 0.9711, 'grad_norm': 0.978252649307251, 'learning_rate': 1.958807109974816e-05, 'epoch': 0.36}
{'loss': 0.9398, 'grad_norm': 0.9657508730888367, 'learning_rate': 1.9580461507895382e-05, 'epoch': 0.36}
{'loss': 0.9557, 'grad_norm': 0.9852158427238464, 'learning_rate': 1.957278377710822e-05, 'epoch': 0.37}
{'loss': 0.9746, 'grad_norm': 1.0031392574310303, 'learning_rate': 1.9565037961992853e-05, 'epoch': 0.37}
{'loss': 0.9716, 'grad_norm': 1.050065040588379, 'learning_rate': 1.95572241176397e-05, 'epoch': 0.37}
{'loss': 0.9927, 'grad_norm': 1.0187755823135376, 'learning_rate': 1.9549342299623012e-05, 'epoch': 0.37}
{'loss': 0.9659, 'grad_norm': 1.0180052518844604, 'learning_rate': 1.954139256400049e-05, 'epoch': 0.38}
{'loss': 0.9351, 'grad_norm': 1.0401344299316406, 'learning_rate': 1.9533374967312894e-05, 'epoch': 0.38}
{'loss': 0.9518, 'grad_norm': 0.9270204305648804, 'learning_rate': 1.9525289566583626e-05, 'epoch': 0.38}
{'loss': 0.9738, 'grad_norm': 1.003707766532898, 'learning_rate': 1.9517136419318323e-05, 'epoch': 0.38}
{'loss': 0.9605, 'grad_norm': 1.0115925073623657, 'learning_rate': 1.950891558350446e-05, 'epoch': 0.39}
{'loss': 0.9698, 'grad_norm': 0.9973775148391724, 'learning_rate': 1.950062711761093e-05, 'epoch': 0.39}
{'loss': 0.9301, 'grad_norm': 1.040052056312561, 'learning_rate': 1.949227108058764e-05, 'epoch': 0.39}
{'loss': 0.9596, 'grad_norm': 1.0615776777267456, 'learning_rate': 1.9483847531865062e-05, 'epoch': 0.39}
{'loss': 0.9225, 'grad_norm': 1.0070208311080933, 'learning_rate': 1.947535653135385e-05, 'epoch': 0.4}
{'loss': 0.9577, 'grad_norm': 0.9453670978546143, 'learning_rate': 1.9466798139444384e-05, 'epoch': 0.4}
{'loss': 0.9429, 'grad_norm': 0.9659125804901123, 'learning_rate': 1.9458172417006347e-05, 'epoch': 0.4}
{'loss': 0.9574, 'grad_norm': 0.9083889126777649, 'learning_rate': 1.9449479425388308e-05, 'epoch': 0.4}
{'loss': 0.9901, 'grad_norm': 0.9493526816368103, 'learning_rate': 1.9440719226417264e-05, 'epoch': 0.41}
{'loss': 0.9531, 'grad_norm': 1.1261012554168701, 'learning_rate': 1.9431891882398207e-05, 'epoch': 0.41}
{'loss': 1.0105, 'grad_norm': 1.0274769067764282, 'learning_rate': 1.9422997456113695e-05, 'epoch': 0.41}
