                                                   
{'loss': 0.9466, 'grad_norm': 1.943507432937622, 'learning_rate': 1.999199974609125e-05, 'epoch': 0.13}
{'loss': 0.9659, 'grad_norm': 1.9256561994552612, 'learning_rate': 1.9990897656133385e-05, 'epoch': 0.13}
{'loss': 0.9467, 'grad_norm': 2.098949670791626, 'learning_rate': 1.9989724508103916e-05, 'epoch': 0.14}
{'loss': 0.9082, 'grad_norm': 2.0573341846466064, 'learning_rate': 1.9988480310346606e-05, 'epoch': 0.14}
{'loss': 0.9787, 'grad_norm': 2.1411099433898926, 'learning_rate': 1.998716507171053e-05, 'epoch': 0.14}
{'loss': 0.9504, 'grad_norm': 2.3328614234924316, 'learning_rate': 1.9985778801550044e-05, 'epoch': 0.14}
{'loss': 0.9299, 'grad_norm': 2.0656256675720215, 'learning_rate': 1.9984321509724684e-05, 'epoch': 0.15}
{'loss': 0.9847, 'grad_norm': 2.1527466773986816, 'learning_rate': 1.998279320659912e-05, 'epoch': 0.15}
{'loss': 0.9379, 'grad_norm': 1.9033536911010742, 'learning_rate': 1.9981193903043077e-05, 'epoch': 0.15}
{'loss': 0.9276, 'grad_norm': 1.9844101667404175, 'learning_rate': 1.997952361043125e-05, 'epoch': 0.15}
{'loss': 0.9766, 'grad_norm': 2.0480480194091797, 'learning_rate': 1.997778234064323e-05, 'epoch': 0.16}
{'loss': 0.9228, 'grad_norm': 2.06968355178833, 'learning_rate': 1.9975970106063417e-05, 'epoch': 0.16}
{'loss': 0.9657, 'grad_norm': 2.0056283473968506, 'learning_rate': 1.9974086919580927e-05, 'epoch': 0.16}
{'loss': 0.9206, 'grad_norm': 2.3024742603302, 'learning_rate': 1.9972132794589515e-05, 'epoch': 0.16}
{'loss': 0.9347, 'grad_norm': 1.7895795106887817, 'learning_rate': 1.9970107744987476e-05, 'epoch': 0.17}
{'loss': 0.9532, 'grad_norm': 2.142174482345581, 'learning_rate': 1.9968011785177515e-05, 'epoch': 0.17}
{'loss': 0.9005, 'grad_norm': 1.8504974842071533, 'learning_rate': 1.99658449300667e-05, 'epoch': 0.17}
{'loss': 1.0031, 'grad_norm': 2.3125345706939697, 'learning_rate': 1.996360719506631e-05, 'epoch': 0.17}
{'loss': 1.0278, 'grad_norm': 2.3298096656799316, 'learning_rate': 1.996129859609174e-05, 'epoch': 0.18}
{'loss': 0.94, 'grad_norm': 1.8050388097763062, 'learning_rate': 1.9958919149562405e-05, 'epoch': 0.18}
{'loss': 0.9376, 'grad_norm': 1.9193236827850342, 'learning_rate': 1.9956468872401588e-05, 'epoch': 0.18}
{'loss': 0.9997, 'grad_norm': 1.9307302236557007, 'learning_rate': 1.9953947782036353e-05, 'epoch': 0.18}
{'loss': 0.9615, 'grad_norm': 2.021240711212158, 'learning_rate': 1.99513558963974e-05, 'epoch': 0.19}
{'loss': 0.9479, 'grad_norm': 1.9106926918029785, 'learning_rate': 1.994869323391895e-05, 'epoch': 0.19}
{'loss': 0.9738, 'grad_norm': 1.9241255521774292, 'learning_rate': 1.9945959813538615e-05, 'epoch': 0.19}
{'loss': 0.9632, 'grad_norm': 1.8930891752243042, 'learning_rate': 1.994315565469723e-05, 'epoch': 0.19}
{'loss': 0.9023, 'grad_norm': 1.9022139310836792, 'learning_rate': 1.994028077733878e-05, 'epoch': 0.2}
{'loss': 1.0028, 'grad_norm': 2.047238349914551, 'learning_rate': 1.9937335201910187e-05, 'epoch': 0.2}
{'loss': 1.0087, 'grad_norm': 1.9355229139328003, 'learning_rate': 1.9934318949361218e-05, 'epoch': 0.2}
{'loss': 0.9257, 'grad_norm': 1.9228986501693726, 'learning_rate': 1.9931232041144308e-05, 'epoch': 0.2}
{'loss': 0.9894, 'grad_norm': 2.1443450450897217, 'learning_rate': 1.992807449921441e-05, 'epoch': 0.21}
{'loss': 0.9276, 'grad_norm': 1.9801644086837769, 'learning_rate': 1.9924846346028858e-05, 'epoch': 0.21}
{'loss': 0.9617, 'grad_norm': 1.9035834074020386, 'learning_rate': 1.992154760454718e-05, 'epoch': 0.21}
{'loss': 0.9125, 'grad_norm': 1.863847017288208, 'learning_rate': 1.9918178298230955e-05, 'epoch': 0.21}
{'loss': 0.9268, 'grad_norm': 1.9023271799087524, 'learning_rate': 1.9914738451043633e-05, 'epoch': 0.22}
{'loss': 0.962, 'grad_norm': 1.8753489255905151, 'learning_rate': 1.9911228087450375e-05, 'epoch': 0.22}
{'loss': 0.9194, 'grad_norm': 1.9349608421325684, 'learning_rate': 1.9907647232417873e-05, 'epoch': 0.22}
{'loss': 0.9848, 'grad_norm': 1.9776298999786377, 'learning_rate': 1.9903995911414174e-05, 'epoch': 0.22}
{'loss': 0.933, 'grad_norm': 1.7137075662612915, 'learning_rate': 1.9900274150408503e-05, 'epoch': 0.23}
{'loss': 0.9937, 'grad_norm': 2.0191218852996826, 'learning_rate': 1.9896481975871063e-05, 'epoch': 0.23}
{'loss': 0.982, 'grad_norm': 2.0190227031707764, 'learning_rate': 1.989261941477287e-05, 'epoch': 0.23}
{'loss': 1.0088, 'grad_norm': 2.226608991622925, 'learning_rate': 1.9888686494585543e-05, 'epoch': 0.23}
{'loss': 0.9706, 'grad_norm': 2.079202890396118, 'learning_rate': 1.9884683243281117e-05, 'epoch': 0.23}
{'loss': 0.9646, 'grad_norm': 1.851874589920044, 'learning_rate': 1.9880609689331837e-05, 'epoch': 0.24}
{'loss': 0.9355, 'grad_norm': 2.0555405616760254, 'learning_rate': 1.987646586170996e-05, 'epoch': 0.24}
{'loss': 0.9181, 'grad_norm': 1.9921684265136719, 'learning_rate': 1.9872251789887563e-05, 'epoch': 0.24}
{'loss': 0.9689, 'grad_norm': 2.1602888107299805, 'learning_rate': 1.98679675038363e-05, 'epoch': 0.24}
{'loss': 0.981, 'grad_norm': 2.2191219329833984, 'learning_rate': 1.9863613034027224e-05, 'epoch': 0.25}
{'loss': 1.0042, 'grad_norm': 2.0109217166900635, 'learning_rate': 1.9859188411430542e-05, 'epoch': 0.25}
{'loss': 0.9619, 'grad_norm': 1.9412174224853516, 'learning_rate': 1.985469366751542e-05, 'epoch': 0.25}
{'loss': 0.9218, 'grad_norm': 1.8587992191314697, 'learning_rate': 1.985012883424973e-05, 'epoch': 0.25}
{'loss': 0.9597, 'grad_norm': 2.1986374855041504, 'learning_rate': 1.9845493944099856e-05, 'epoch': 0.26}
{'loss': 0.971, 'grad_norm': 2.058645486831665, 'learning_rate': 1.984078903003044e-05, 'epoch': 0.26}
{'loss': 0.9888, 'grad_norm': 2.2376420497894287, 'learning_rate': 1.9836014125504146e-05, 'epoch': 0.26}
{'loss': 0.9719, 'grad_norm': 1.8989955186843872, 'learning_rate': 1.9831169264481446e-05, 'epoch': 0.26}
{'loss': 1.0358, 'grad_norm': 1.9319926500320435, 'learning_rate': 1.9826254481420345e-05, 'epoch': 0.27}
{'loss': 0.9377, 'grad_norm': 1.880265235900879, 'learning_rate': 1.9821269811276164e-05, 'epoch': 0.27}
{'loss': 0.9757, 'grad_norm': 2.1007814407348633, 'learning_rate': 1.981621528950128e-05, 'epoch': 0.27}
{'loss': 1.0035, 'grad_norm': 2.069723129272461, 'learning_rate': 1.9811090952044867e-05, 'epoch': 0.27}
{'loss': 0.9541, 'grad_norm': 1.8727211952209473, 'learning_rate': 1.980589683535266e-05, 'epoch': 0.28}
{'loss': 0.9723, 'grad_norm': 2.0725574493408203, 'learning_rate': 1.9800632976366668e-05, 'epoch': 0.28}
{'loss': 0.9585, 'grad_norm': 2.703254222869873, 'learning_rate': 1.9795299412524948e-05, 'epoch': 0.28}
{'loss': 0.9709, 'grad_norm': 1.9839088916778564, 'learning_rate': 1.978989618176129e-05, 'epoch': 0.28}
{'loss': 0.9566, 'grad_norm': 1.6570565700531006, 'learning_rate': 1.9784423322505e-05, 'epoch': 0.29}
{'loss': 0.9795, 'grad_norm': 2.0649495124816895, 'learning_rate': 1.9778880873680587e-05, 'epoch': 0.29}
{'loss': 0.9846, 'grad_norm': 2.346930980682373, 'learning_rate': 1.9773268874707504e-05, 'epoch': 0.29}
{'loss': 0.9172, 'grad_norm': 2.159294843673706, 'learning_rate': 1.9767587365499865e-05, 'epoch': 0.29}
{'loss': 1.0111, 'grad_norm': 2.3825323581695557, 'learning_rate': 1.976183638646616e-05, 'epoch': 0.3}
{'loss': 0.9772, 'grad_norm': 2.332836389541626, 'learning_rate': 1.975601597850897e-05, 'epoch': 0.3}
{'loss': 0.9669, 'grad_norm': 2.032367706298828, 'learning_rate': 1.975012618302467e-05, 'epoch': 0.3}
{'loss': 0.9409, 'grad_norm': 1.8612141609191895, 'learning_rate': 1.974416704190314e-05, 'epoch': 0.3}
{'loss': 1.0148, 'grad_norm': 1.8034725189208984, 'learning_rate': 1.9738138597527467e-05, 'epoch': 0.31}
{'loss': 0.9653, 'grad_norm': 1.8649872541427612, 'learning_rate': 1.9732040892773644e-05, 'epoch': 0.31}
{'loss': 0.9614, 'grad_norm': 2.0591063499450684, 'learning_rate': 1.9725873971010256e-05, 'epoch': 0.31}
{'loss': 1.0161, 'grad_norm': 1.9694128036499023, 'learning_rate': 1.9719637876098186e-05, 'epoch': 0.31}
{'loss': 0.9126, 'grad_norm': 1.756940484046936, 'learning_rate': 1.9713332652390293e-05, 'epoch': 0.32}
{'loss': 0.9479, 'grad_norm': 1.726609706878662, 'learning_rate': 1.97069583447311e-05, 'epoch': 0.32}
{'loss': 0.9854, 'grad_norm': 2.001216411590576, 'learning_rate': 1.9700514998456475e-05, 'epoch': 0.32}
{'loss': 0.9484, 'grad_norm': 2.0175163745880127, 'learning_rate': 1.9694002659393306e-05, 'epoch': 0.32}
{'loss': 0.9211, 'grad_norm': 2.0259063243865967, 'learning_rate': 1.9687421373859175e-05, 'epoch': 0.33}
{'loss': 1.009, 'grad_norm': 1.8645591735839844, 'learning_rate': 1.9680771188662044e-05, 'epoch': 0.33}
{'loss': 0.9881, 'grad_norm': 1.9688448905944824, 'learning_rate': 1.967405215109989e-05, 'epoch': 0.33}
{'loss': 0.9456, 'grad_norm': 2.081298828125, 'learning_rate': 1.96672643089604e-05, 'epoch': 0.33}
{'loss': 0.9528, 'grad_norm': 1.7487356662750244, 'learning_rate': 1.9660407710520613e-05, 'epoch': 0.34}
{'loss': 0.9745, 'grad_norm': 1.8604182004928589, 'learning_rate': 1.9653482404546583e-05, 'epoch': 0.34}
{'loss': 0.9491, 'grad_norm': 1.8317939043045044, 'learning_rate': 1.9646488440293035e-05, 'epoch': 0.34}
{'loss': 1.0015, 'grad_norm': 1.8285253047943115, 'learning_rate': 1.9639425867503008e-05, 'epoch': 0.34}
{'loss': 1.0395, 'grad_norm': 2.1486732959747314, 'learning_rate': 1.96322947364075e-05, 'epoch': 0.35}
{'loss': 1.0296, 'grad_norm': 2.051038980484009, 'learning_rate': 1.9625095097725128e-05, 'epoch': 0.35}
{'loss': 0.9066, 'grad_norm': 1.8756884336471558, 'learning_rate': 1.9617827002661734e-05, 'epoch': 0.35}
{'loss': 0.981, 'grad_norm': 1.828585147857666, 'learning_rate': 1.9610490502910058e-05, 'epoch': 0.35}
{'loss': 0.9698, 'grad_norm': 2.085536241531372, 'learning_rate': 1.960308565064935e-05, 'epoch': 0.36}
{'loss': 0.9611, 'grad_norm': 2.1138064861297607, 'learning_rate': 1.9595612498544997e-05, 'epoch': 0.36}
{'loss': 0.9758, 'grad_norm': 1.8767824172973633, 'learning_rate': 1.958807109974816e-05, 'epoch': 0.36}
{'loss': 0.9459, 'grad_norm': 1.8439685106277466, 'learning_rate': 1.9580461507895382e-05, 'epoch': 0.36}
{'loss': 0.964, 'grad_norm': 1.9404783248901367, 'learning_rate': 1.957278377710822e-05, 'epoch': 0.37}
